image_id,flood_pixels,flood_fraction
scene_0000,0,0.0
scene_0001,2008,0.12255859375
scene_0002,2661,0.16241455078125
scene_0003,3087,0.18841552734375
scene_0004,2371,0.14471435546875
scene_0005,1423,0.08685302734375
scene_0006,2448,0.1494140625
scene_0007,1957,0.11944580078125
scene_0008,3423,0.20892333984375
scene_0009,3122,0.1905517578125
scene_0010,0,0.0
scene_0011,1632,0.099609375
scene_0012,1718,0.1048583984375
scene_0013,2524,0.154052734375
scene_0014,2667,0.16278076171875
scene_0015,2507,0.15301513671875
scene_0016,2310,0.1409912109375
scene_0017,2680,0.16357421875
scene_0018,2504,0.15283203125
scene_0019,2409,0.14703369140625
scene_0020,0,0.0
scene_0021,4112,0.2509765625
scene_0022,2285,0.13946533203125
scene_0023,2774,0.1693115234375
scene_0024,3466,0.2115478515625
scene_0025,1831,0.11175537109375
scene_0026,1622,0.0989990234375
scene_0027,1367,0.08343505859375
scene_0028,3072,0.1875
scene_0029,1851,0.11297607421875
scene_0030,0,0.0
scene_0031,2346,0.1431884765625
scene_0032,3222,0.1966552734375
scene_0033,3354,0.2047119140625
scene_0034,2056,0.12548828125
scene_0035,2049,0.12506103515625
scene_0036,2426,0.1480712890625
scene_0037,1935,0.11810302734375
scene_0038,3005,0.18341064453125
scene_0039,3335,0.20355224609375
scene_0040,0,0.0
scene_0041,3070,0.1873779296875
scene_0042,3258,0.1988525390625
scene_0043,2288,0.1396484375
scene_0044,1699,0.10369873046875
scene_0045,3310,0.2020263671875
scene_0046,1812,0.110595703125
scene_0047,1935,0.11810302734375
scene_0048,2573,0.15704345703125
scene_0049,1549,0.09454345703125
scene_0050,0,0.0
scene_0051,2914,0.1778564453125
scene_0052,1905,0.11627197265625
scene_0053,2697,0.16461181640625
scene_0054,3994,0.2437744140625
scene_0055,2183,0.13323974609375
scene_0056,1445,0.08819580078125
scene_0057,2316,0.141357421875
scene_0058,1449,0.08843994140625
scene_0059,1314,0.0802001953125
scene_0060,0,0.0
scene_0061,2076,0.126708984375
scene_0062,2187,0.13348388671875
scene_0063,1865,0.11383056640625
scene_0064,2128,0.1298828125
scene_0065,1245,0.07598876953125
scene_0066,3076,0.187744140625
scene_0067,1400,0.08544921875
scene_0068,3140,0.191650390625
scene_0069,3022,0.1844482421875
scene_0070,0,0.0
scene_0071,1370,0.0836181640625
scene_0072,2849,0.17388916015625
scene_0073,2894,0.1766357421875
scene_0074,2371,0.14471435546875
scene_0075,2254,0.1375732421875
scene_0076,2020,0.123291015625
scene_0077,2261,0.13800048828125
scene_0078,2584,0.15771484375
scene_0079,833,0.05084228515625
scene_0080,0,0.0
scene_0081,2757,0.16827392578125
scene_0082,2520,0.15380859375
scene_0083,1961,0.11968994140625
scene_0084,2503,0.15277099609375
scene_0085,1381,0.08428955078125
scene_0086,3364,0.205322265625
scene_0087,3231,0.19720458984375
scene_0088,2302,0.1405029296875
scene_0089,1355,0.08270263671875
scene_0090,0,0.0
scene_0091,2022,0.1234130859375
scene_0092,2614,0.1595458984375
scene_0093,1918,0.1170654296875
scene_0094,1588,0.096923828125
scene_0095,1386,0.0845947265625
scene_0096,1821,0.11114501953125
scene_0097,1813,0.11065673828125
scene_0098,2771,0.16912841796875
scene_0099,3794,0.2315673828125
scene_0100,0,0.0
scene_0101,2517,0.15362548828125
scene_0102,3076,0.187744140625
scene_0103,2570,0.1568603515625
scene_0104,1261,0.07696533203125
scene_0105,1757,0.10723876953125
scene_0106,2339,0.14276123046875
scene_0107,1807,0.11029052734375
scene_0108,2660,0.162353515625
scene_0109,2803,0.17108154296875
scene_0110,0,0.0
scene_0111,3500,0.213623046875
scene_0112,1742,0.1063232421875
scene_0113,1380,0.084228515625
scene_0114,2870,0.1751708984375
scene_0115,2232,0.13623046875
scene_0116,1747,0.10662841796875
scene_0117,1078,0.0657958984375
scene_0118,1281,0.07818603515625
scene_0119,1900,0.115966796875
scene_0120,0,0.0
scene_0121,2656,0.162109375
scene_0122,2262,0.1380615234375
scene_0123,3351,0.20452880859375
scene_0124,1860,0.113525390625
scene_0125,2552,0.15576171875
scene_0126,1992,0.12158203125
scene_0127,926,0.0565185546875
scene_0128,2621,0.15997314453125
scene_0129,1565,0.09552001953125
scene_0130,0,0.0
scene_0131,1902,0.1160888671875
scene_0132,1369,0.08355712890625
scene_0133,1075,0.06561279296875
scene_0134,1528,0.09326171875
scene_0135,1309,0.07989501953125
scene_0136,3136,0.19140625
scene_0137,2907,0.17742919921875
scene_0138,969,0.05914306640625
scene_0139,1511,0.09222412109375
scene_0140,0,0.0
scene_0141,2433,0.14849853515625
scene_0142,1798,0.1097412109375
scene_0143,2754,0.1680908203125
scene_0144,3269,0.19952392578125
scene_0145,2177,0.13287353515625
scene_0146,2985,0.18218994140625
scene_0147,1516,0.092529296875
scene_0148,1656,0.10107421875
