node_id,latitude,longitude,population_at_node,flood_risk,is_shelter,shelter_capacity
0,22.0,78.0,251,0.503746475758546,False,0
1,22.0,78.025,406,0.406215967136723,False,0
2,22.0,78.05,64,0.7864072657334658,False,0
3,22.0,78.075,289,0.8993841457954302,False,0
4,22.0,78.1,95,0.5263834751658185,False,0
5,22.0,78.125,337,0.14251599086162997,False,0
6,22.0,78.15,401,0.6946468257283902,False,0
7,22.0,78.175,821,0.12257885525204544,False,0
8,22.0,78.2,745,0.6765935005172177,False,0
9,22.0,78.225,133,0.7064727076732126,False,0
10,22.0,78.25,609,0.5108840791910542,False,0
11,22.0,78.275,277,0.32610913134821723,False,0
12,22.0,78.3,492,0.8436937215848322,False,0
13,22.0,78.325,714,0.22655495795649372,False,0
14,22.0,78.35,758,0.5232894993599823,False,0
15,22.0,78.375,446,0.6223884804425688,False,0
16,22.0,78.4,772,0.6496377328435694,False,0
17,22.0,78.425,790,0.7151665002330171,False,0
18,22.0,78.45,421,0.28782094130835784,False,0
19,22.0,78.475,653,0.3176049330480641,False,0
20,22.025,78.0,278,0.5376148749548179,False,0
21,22.025,78.025,494,0.1685969979595524,False,0
22,22.025,78.05,94,0.3330532236657298,False,0
23,22.025,78.075,298,0.6361435300919377,False,0
24,22.025,78.1,530,0.44779274305998606,False,0
25,22.025,78.125,330,0.6264425929299308,False,0
26,22.025,78.15,326,0.6217797438844779,False,0
27,22.025,78.175,709,0.31732093641343667,True,2864
28,22.025,78.2,101,0.5933732413841795,False,0
29,22.025,78.225,741,0.916486718762033,False,0
30,22.025,78.25,309,0.9392632738087189,False,0
31,22.025,78.275,329,0.5074275923691419,False,0
32,22.025,78.3,203,0.6775919453074533,False,0
33,22.025,78.325,631,0.44051609448693024,False,0
34,22.025,78.35,577,0.7471755154659849,False,0
35,22.025,78.375,360,0.5301712901923382,False,0
36,22.025,78.4,659,0.18546130609309047,False,0
37,22.025,78.425,72,0.2729419976827073,False,0
38,22.025,78.45,232,0.16470465549359353,False,0
39,22.025,78.475,897,0.4043885750302698,False,0
40,22.05,78.0,748,0.4201508157894878,False,0
41,22.05,78.025,885,0.2157766158210734,False,0
42,22.05,78.05,753,0.5012636773822392,False,0
43,22.05,78.075,684,0.7820746688834872,False,0
44,22.05,78.1,596,0.26765973818134026,False,0
45,22.05,78.125,227,0.6872687083687767,False,0
46,22.05,78.15,659,0.7286859229160758,True,2557
47,22.05,78.175,262,0.4159570089146268,False,0
48,22.05,78.2,306,0.4781601540323917,False,0
49,22.05,78.225,834,0.6822529145480406,False,0
50,22.05,78.25,522,0.38441738634553274,False,0
51,22.05,78.275,182,0.9703585574433495,False,0
52,22.05,78.3,463,0.41149131669164885,False,0
53,22.05,78.325,231,0.5009470372309492,False,0
54,22.05,78.35,483,0.006008146878548553,False,0
55,22.05,78.375,459,0.45199336347537045,False,0
56,22.05,78.4,213,0.6737519489659243,False,0
57,22.05,78.425,73,0.5059167672946354,False,0
58,22.05,78.45,473,0.8231389977997547,False,0
59,22.05,78.475,295,0.5350192019178746,False,0
60,22.075,78.0,753,0.7303177612139503,False,0
61,22.075,78.025,148,0.3100173263605194,False,0
62,22.075,78.05,261,0.2914001819482092,False,0
63,22.075,78.075,829,0.506923482599568,False,0
64,22.075,78.1,846,0.6290132424675046,False,0
65,22.075,78.125,173,0.4587683065806274,False,0
66,22.075,78.15,382,0.6527908664253907,False,0
67,22.075,78.175,846,0.549117558236692,False,0
68,22.075,78.2,487,0.6615641030886279,False,0
69,22.075,78.225,770,0.19759943193158316,False,0
