scenario_id,flood_probability,uncertainty,flooded_area_fraction,impact_score,flood_area_score,impact_score_norm,uncertainty_norm,risk_score,final_risk
SCN_0000,0.3724518,0.061126843,0.0,4.282769993144015,0.0,0.04282769993144015,0.74730027,16.397041680732578,LOW
SCN_0001,0.9188232,0.03974758,0.12255859375,3.096606530915027,0.4322927879440258,0.03096606530915027,0.48593017,48.64405928773511,MODERATE
SCN_0002,0.73193777,0.05986863,0.16241455078125,12.063746673425104,0.5728740581270183,0.12063746673425105,0.7319181,47.82167522001896,MODERATE
SCN_0003,0.93299294,0.04172914,0.18841552734375,24.00814388690685,0.6645855758880517,0.24008143886906852,0.51015556,62.337206568798806,HIGH
SCN_0004,0.14063108,0.045592234,0.14471435546875,12.507657415402424,0.5104413347685683,0.12507657415402423,0.5573834,22.763956577049935,LOW
SCN_0005,0.30813017,0.058106925,0.08685302734375,16.44242064915495,0.3063509149623251,0.1644242064915495,0.71038055,25.738827245284345,MODERATE
SCN_0006,0.49538603,0.0584032,0.1494140625,20.008203244084612,0.5270182992465016,0.20008203244084613,0.7140026,39.99377058264898,MODERATE
SCN_0007,0.96117437,0.028828489,0.11944580078125,10.088998319057882,0.42131324004305704,0.10088998319057882,0.35243988,52.510955167080176,HIGH
SCN_0008,0.07609013,0.032650173,0.20892333984375,14.52807505738393,0.7369214208826695,0.1452807505738393,0.3991615,26.551466993097446,MODERATE
SCN_0009,0.34335586,0.06186455,0.1905517578125,12.42289716255369,0.6721205597416577,0.12422897162553691,0.75631905,34.885262869915366,MODERATE
SCN_0010,0.04624733,0.029808331,0.0,48.47641623692006,0.0,0.4847641623692006,0.36441883,18.816638977196828,LOW
SCN_0011,0.08413489,0.039742917,0.099609375,3.620895372300187,0.35134553283100106,0.03620895372300187,0.48587313,13.416347291743048,LOW
SCN_0012,0.03731607,0.02542546,0.1048583984375,29.367443571693418,0.3698600645855759,0.2936744357169342,0.31083646,21.017749662261792,LOW
SCN_0013,0.015760785,0.012252714,0.154052734375,23.530471067271606,0.5433799784714747,0.23530471067271605,0.14979436,22.450595724768053,LOW
SCN_0014,0.5213057,0.047914326,0.16278076171875,23.39588685261858,0.5741657696447793,0.2339588685261858,0.5857719,43.39493214855774,MODERATE
SCN_0015,0.015511159,0.014294249,0.15301513671875,7.90007702121364,0.5397201291711518,0.0790007702121364,0.17475295,16.87847654085434,LOW
SCN_0016,0.009483424,0.009442419,0.1409912109375,18.32231675453116,0.49730893433799783,0.1832231675453116,0.115437366,19.224871197119416,LOW
SCN_0017,0.018065007,0.014791767,0.16357421875,37.853872987337766,0.5769644779332616,0.37853872987337767,0.1808353,28.39556778072625,MODERATE
SCN_0018,0.012037617,0.016705845,0.15283203125,24.053495561464466,0.5390742734122712,0.24053495561464466,0.20423567,22.377084995935796,LOW
SCN_0019,0.012928981,0.0132571915,0.14703369140625,24.841579633391355,0.5186221743810548,0.24841579633391356,0.1620745,22.177266512511864,LOW
SCN_0020,0.4908476,0.0654636,0.0,13.370364832661622,0.0,0.13370364832661621,0.8003189,24.313531790895983,LOW
SCN_0021,0.9854976,0.014314393,0.2509765625,19.302279999950635,0.8852529601722282,0.19302279999950633,0.1749992,68.30702635552286,HIGH
SCN_0022,0.037199374,0.021220466,0.13946533203125,21.691752501952582,0.49192680301399355,0.21691752501952583,0.25942874,21.378258459818966,LOW
SCN_0023,0.9844055,0.016577234,0.1693115234375,42.326484528366116,0.5972012917115178,0.42326484528366115,0.20266336,69.12052198479464,HIGH
SCN_0024,0.7094391,0.069677085,0.2115478515625,7.1755458870471855,0.7461786867599569,0.07175545887047186,0.85183036,49.54347397100444,MODERATE
SCN_0025,0.036550228,0.021021185,0.11175537109375,21.609410069882884,0.39418729817007536,0.21609410069882884,0.25699246,18.879985062190535,LOW
SCN_0026,0.82756996,0.057223517,0.0989990234375,15.026663340609502,0.3491926803013993,0.15026663340609503,0.6995805,47.091947638662376,MODERATE
SCN_0027,0.02223072,0.014736245,0.08343505859375,30.935081241251044,0.29429494079655544,0.30935081241251045,0.18015653,19.073880797504273,LOW
SCN_0028,0.01912349,0.018189603,0.1875,34.67164744022345,0.6613562970936491,0.3467164744022345,0.22237521,29.433923686037932,MODERATE
SCN_0029,0.06577147,0.042844363,0.11297607421875,22.494577648922373,0.3984930032292788,0.22494577648922373,0.5237896,20.466285939950808,LOW
SCN_0030,0.025059553,0.020415064,0.0,17.40911151909317,0.0,0.1740911151909317,0.24958237,7.095571146212219,LOW
SCN_0031,0.020858265,0.022709828,0.1431884765625,21.61858632855489,0.505059203444564,0.2161858632855489,0.27763677,21.027315938116264,LOW
SCN_0032,0.021597184,0.020747563,0.1966552734375,24.136501650172796,0.693649085037675,0.24136501650172795,0.2536473,26.652890073135072,MODERATE
SCN_0033,0.014145412,0.016720358,0.2047119140625,6.886099509301428,0.7220667384284176,0.06886099509301429,0.2044131,21.027619751005886,LOW
SCN_0034,0.012831722,0.011354015,0.12548828125,3.6369738283608712,0.4426264800861141,0.03636973828360871,0.1388074,12.851871756152864,LOW
SCN_0035,0.010220718,0.011124283,0.12506103515625,37.53906581859406,0.4411194833153929,0.3753906581859406,0.13599883,24.575488843568433,LOW
